"ikhtiar,hadap,kemarau,gelar,minta,hujan",Positive
"panas,bikin,manfaat,cahaya,matahari,asak,nyata,matang",Negative
tewas,Negative
"nilai,menang",Positive
"mahal,hilang,edar",Negative
"siasat,hadap,mahal",Negative
"temu,tewas",Negative
"serah,uang,ketua",Negative
"periksa,kait,peras,pimpin,peran",Negative
usul,Positive
"pilih,sepakat,indra,damping",Positive
"periksa,metro,saksi,duga,peras,pimpin,peras",Negative
fakta,Positive
"pernah,temu",Positive
"saksi,duga,peras,pimpin",Negative
"periksa,metro,kait,kasus,duga,pimpin,peras",Negative
"tewas,lompat,buka",Negative
"relawan,juang,menang,dukung",Positive
"aman,intensif,koordinasi",Positive
"gera,pangan,murah,bagi,gratis",Positive
mahal,Negative
"dagang,pakai,tuju,tutup",Negative
"teman,temu,pimpin,bantah,serah,uang",Negative
"bakar,belum,padam",Negative
"pernah,ketua,bantah,tan",Negative
"pernah,temu,ketua,tan,bantah,serah,uang",Negative
"buka,kait,kasus,duga,peras,pimpin,hadap",Negative
"gaet,pan,gelar,pesta",Positive
"sepi,klub,patungan",Negative
"kasus,panggil,metro,jaya",Negative
"periksa,metro,kasus,peras,pimpin",Negative
"periksa,saksi,kasus,peras",Negative
"layan,gratis,kendali,tumbuh,duduk",Positive
"periksa,kait,kasus,ketua",Negative
"kemarau,rawan,bakar,jual,apar,naik",Negative
"lopor,damping",Positive
"kendali,laju,tumbuh,duduk,gratis",Positive
"tulis,komitmen,anti,korupsi,pecah,rekor",Positive
"berkah,panas,jual,dingin,laris",Positive
"darurat,kering,januari",Negative
"tuju,gelar,festival,kreasi,bahan,pokok",Positive
"suhu,panas,siang,waspada,papar,sinar",Negative
"panas,terik,prediksi,indeks,ekstrem,bagi,besar,wilayah",Negative
"keluh,suhu,panas,musim,hujan,turun",Negative
"rekap,hasil,menang,dewa,tekuk",Positive
"hasil,sore,kalah,persis,solo,tahan,imbang",Negative
"bakar,kali,landa,zona,aktif",Negative
"ternak,tolak,relokasi",Negative
"bakar,berat,terjun",Negative
"zona,aktif,bakar",Negative
"seru,versus",Negative
"unjung,lampau,target",Positive
"sosialisasi,damping",Positive
"jelang,versus,saling,sikut,poin",Negative
"luang,ternak,itik",Positive
