"cemburu,suami,nekat,aniaya,istri,tewas",Negative
"kaca,celaka,api,kendara,mogok,rel,sinau",Negative
"tangki,celaka,maut,jadi,sangka",Negative
"edukasi,sehat,paguyuban,gelar",Positive
"kemarau,ganggu",Negative
"rakit,jual,senjata,api,ilegal",Negative
"harga,naik",Negative
"tengkar,suami,duga,aniaya,istri,tewas",Negative
"keren,rawat,budaya,pamer,keris",Positive
"krisis,bersih,salur,bantu,bersih,dampak",Negative
"seru,estafet,tangkap,mata,tutup",Positive
"optimis,investasi,naik",Positive
"aman,tani,basmi,hama,tikus",Positive
"bersih,camat",Positive
"nikmat,lobster,rawa,bakar,rawa,pening",Positive
"depresi,pria,nekat",Negative
"tangki,siaga,asap",Negative
"tambang,ilegal,marak,harus,legalitas",Negative
"kemarau,rawan,bakar,jual,apar,naik",Negative
"emas,dukung",Positive
"rekonstruksi,kasus,tewas,taksi",Negative
"raih,menang,persik,manfaat,absen",Positive
"tani,gotong,tangkap,tikus,sawah",Positive
"gaet,investor,buat,insentif,investasi",Positive
"tewas,luka,luka",Negative
"racik,edar,kosmetik,ilegal,tangkap",Negative
"nikmat,soto,sawah,organik,murah,sehat",Positive
,
,
,
